Time,Admixture,PresDrop
2712,1.655555556,5.605555556
3072,1.223333333,1.821111111
3336,0.953333333,1.721111111
3576,1.484444444,1.852222222
3816,1.304444444,1.847777778
4056,1.201111111,1.891111111
4320,1.157777778,1.895555556
4560,1.325555556,1.828888889
4800,1.3,1.877777778
5040,1.334444444,1.936666667
5280,1.063333333,2.127777778
5520,1.045555556,1.984444444
5760,0.811111111,2.075555556
6000,1.068888889,2.138888889
6240,1.056666667,2.104444444
6480,1.083333333,2.195555556
6720,1.166666667,2.232222222
6960,1.265555556,2.278888889
7200,1.234444444,2.311111111
7440,1.271111111,2.347777778
7680,1.295555556,2.323333333
7920,1.186666667,2.31
8160,1.167777778,2.34
8400,1.243333333,2.305555556
8640,1.274444444,2.37
8880,1.36,2.333333333
9120,1.302222222,2.345555556
9360,1.237777778,2.288888889
9624,1.261111111,2.344444444
9864,1.394444444,2.346666667
10152,1.057777778,2.285555556
10392,1.027777778,2.298888889
10632,1.142222222,2.383333333
10872,1.344444444,2.342222222
11136,1.174444444,2.55
11376,1.311111111,2.691111111
