Reactor,Feed1,Feed2,Time,ProdParafPer,ProdEBPer,Admixture,BenzeneConv,Selectivity,t1,t2,t3,t4,t5,t6,PresDrop
2,7.2,160,2520,0.05,13.15,1.62,14.08,93.39,9.8,23.1,12.6,16.2,13.1,10.4,5.59
2,7.2,160,2544,0.06,13.19,1.71,14.23,92.69,10,22.1,11.9,15.5,12.7,10.2,5.56
2,7.2,160,2568,0.08,11.89,1.44,12.66,93.92,9.7,22,11.8,15.2,12.8,9.6,5.57
2,7.1,160,2592,0.09,13.7,1.78,14.87,92.13,9.9,21.9,11.5,15.1,12.5,9.7,5.56
2,7.1,160,2616,0.09,13.41,1.73,14.58,91.98,9.7,21.8,11.3,15.2,12.4,9.4,5.58
2,7.1,160,2640,0.09,13.68,1.74,14.69,93.12,9.4,21.6,11.4,15.7,12.3,11.1,5.6
2,7.1,160,2664,0.08,12.81,1.59,13.83,92.62,10.3,21.6,11.3,14.3,11.6,10.6,5.64
2,7.1,160,2688,0.06,14.29,1.85,15.47,92.37,9.9,21.6,10.9,14.9,12,10.8,5.67
2,7.1,160,2712,0.08,12.37,1.44,13.14,94.14,8.9,22.1,11.6,15.6,12.8,10.1,5.68
1,3.6,150,2736,0.09,7.37,0.73,7.42,99.33,6.7,13.1,5.1,9.6,8.5,14.3,4.38
2,7,165,2760,0.07,7.54,0.43,7.39,102.03,15.3,17.8,6.5,16.8,16.6,8.8,1.87
2,7,165,2784,0.06,8.14,0.51,8.09,100.62,15,16,13.9,16.9,16.3,9,1.82
2,7,165,2808,0.07,7.57,0.49,7.44,101.75,16.4,17.1,14.3,16,16.6,8.8,1.74
2,7.2,165,2832,0.06,11.85,1.1,12.47,95.03,15.5,17.3,15.6,18,17.2,8.6,1.79
2,7.2,165,2856,0.08,9.6,0.77,10.15,94.58,15.6,16.9,15.1,17.8,17,8.9,1.78
2,7.2,165,2880,0.1,6.98,0.42,6.82,102.35,15.2,17.2,15.2,17.7,16.9,9.1,1.79
2,7.2,165,2904,0.09,8.15,0.51,7.98,102.13,16.1,17.8,15.7,15,17.3,9.5,1.9
2,7,165,2928,0.1,7.05,0.47,7.11,99.16,14.8,16.9,14.6,14.3,16.8,9.9,1.88
2,7,165,2952,0.05,13.13,1.36,13.93,94.26,15.8,17.2,15.2,14.6,16.7,9.9,1.88
