Reactor,Feed1,Feed2,Time,ProdParafPer,ProdEBPer,Admixture,BenzeneConv,Selectivity,t1,t2,t3,t4,t5,t6,PresDrop
2,3.5,160,1368,0.02,5.06,0.41,3.81,132.81,10.2,16.6,7.4,12,9.9,16.3,3.76
2,7,165,1392,0.05,13.74,1.74,14.69,93.53,10.8,21.5,10.6,14.5,12,10.9,5.1
2,7,165,1416,0.05,11.66,1.35,12.5,93.28,10.6,22,11,15,12.4,10.4,5.17
1,7,165,1440,0.05,13.31,1.7,14.45,92.11,10.5,21.3,10.9,15.3,12.7,10.8,5.18
1,7,165,1464,0.05,15.51,2.11,17.07,90.86,10.4,21.4,10.3,15.1,12.6,10.1,5.21
1,7,165,1488,0.07,13.37,1.88,14.69,91.01,10.6,21.5,10.9,14.7,12.3,11,5.22
1,7,165,1512,0.07,12.9,1.54,13.86,93.07,10.6,22,10.6,15,12.4,9.8,5.24
1,7,165,1536,0.05,14.07,1.79,15.33,91.78,10.5,20.7,10.1,14.7,11.6,9.9,5.24
1,7,165,1560,0.07,13.98,1.98,15.17,92.16,10.2,20.4,10.1,14.1,11.3,9.5,5.22
1,7,165,1584,0.07,13.66,1.68,14.91,91.62,1,21.7,10.9,15.1,12.4,11.3,5.28
1,7,165,1608,0.06,14.46,1.84,15.63,92.51,9.4,21.4,11,15.6,12.5,11.1,5.3
1,7,165,1632,0.13,5.15,0.33,5.03,102.39,10.5,21.3,10.1,14.5,11.6,9.9,5.29
1,7,165,1656,0.16,3.56,0.22,3.21,110.90,10.6,21.6,10.3,14.6,11.8,9.9,5.29
1,6.6,165,1680,0.07,11.2,1.49,12.21,91.73,10.7,20.1,9.6,13.2,10.8,9.5,5.17
1,6.6,165,1704,0.07,12.1,1.57,13.03,92.86,10.7,20.2,9.6,13.5,10.6,10.3,5.15
1,6.6,165,1728,0.08,12.5,1.65,13.51,92.52,10.5,20.3,9.8,13.5,10.2,10,5.18
1,6.6,165,1752,0.07,13.25,1.82,14.41,91.95,10.6,20.5,9.7,14.3,11,11.2,5.15
1,6.6,165,1776,0.07,11.67,1.42,12.38,94.26,10.4,20.2,9.5,13.4,11.1,9.7,5.21
1,6.9,165,1800,0.09,11.43,1.4,12.22,93.54,9.9,21.7,11.1,15.4,12.3,10.8,5.29
1,6.9,165,1824,0.07,14.18,1.91,15.47,91.66,10.2,20.7,10.6,14.4,11.8,11.7,5.36
1,6.9,165,1848,0.08,12.35,1.56,13.23,93.35,10.3,21.2,10.5,14.1,11.4,11,5.4
1,6.9,165,1872,0.08,13.5,1.85,14.76,91.46,9.7,20.9,10.4,13.9,11.7,9.4,5.42
1,6.9,165,1896,0.08,12.94,1.67,13.92,92.96,10.3,21.3,10.6,15.4,12.4,10.6,5.49
1,6.9,165,1920,0.08,13.45,1.74,14.55,92.44,10.8,21.7,10.6,14.8,12.3,10.4,5.45
1,6.9,165,1944,0.09,12.26,1.52,13.13,93.37,9.7,21,10.2,14.4,11.8,9.3,5.45
1,6.9,165,1968,0.09,12.13,1.52,13.04,93.02,10.5,21.6,10.1,14.3,11.8,10.7,5.54
1,6.9,165,1992,0.07,13.66,1.84,14.75,92.61,10.2,23.3,10.5,14.3,12.2,10.1,5.51
